time, 5cm,20cm,50cm,5cm,20cm,50cm
734727,0.29504656,0.24359761,0.2258874,14.304217,14.055627,13.779839
734728,0.28254549,0.24056142,0.22607242,15.081055,14.466236,13.79817
734729,0.28540619,0.23940604,0.22634069,15.674266,14.855946,13.948215
734730,0.34555514,0.2694016,0.22846568,15.901823,15.257048,14.156972
734731,0.34796261,0.28135893,0.23242194,15.63569,15.138874,14.286213
734732,0.3292078,0.27559279,0.23359801,15.497524,15.091062,14.322125
734733,0.31535025,0.27063688,0.2339692,16.088864,15.270485,14.352738
734734,0.33067427,0.26977757,0.23403045,17.148843,15.871476,14.527581
734735,0.38666706,0.30964868,0.24416077,16.952221,16.375881,14.900288
734736,0.37065509,0.30877351,0.25259408,16.282778,15.802414,14.951057
734737,0.36278978,0.30549433,0.25445505,17.273983,16.153971,14.961311
734738,0.35551226,0.30282957,0.25545171,18.314778,16.963212,15.255118
734739,0.34492633,0.29820439,0.25498386,18.495112,17.251015,15.578876
734740,0.33193512,0.2938812,0.25427835,18.134122,17.436234,15.846317
734741,0.33012269,0.29068882,0.25403574,17.145439,16.813423,15.839122
734742,0.37700077,0.29544149,0.25467864,17.344181,16.865186,15.770889
734743,0.40064644,0.30660843,0.25621395,15.899115,16.212237,15.689509
734744,0.39304461,0.30895591,0.25807396,14.601647,15.262671,15.316795
734745,0.37957966,0.30613477,0.25861433,13.941937,14.599263,14.85926
734746,0.36881405,0.3035781,0.25855856,12.853443,13.778465,14.409348
734747,0.35850237,0.30065669,0.25815496,13.247674,13.46613,13.938625
734748,0.34596904,0.2971967,0.25773024,13.75031,13.690801,13.776326
734749,0.33144912,0.29306513,0.25717664,15.332898,14.40274,13.8354
734750,0.31658198,0.28852301,0.25647449,16.696927,15.4083,14.203949
734751,0.30655221,0.28463549,0.25575789,17.207413,16.208123,14.698441
734752,0.30747566,0.2831074,0.25541193,15.545776,15.725925,14.934679
734753,0.30228325,0.28074071,0.25513042,13.957355,14.612582,14.665643
734754,0.33794852,0.2813576,0.25490863,13.738322,14.170553,14.293459
734755,0.37975962,0.29320844,0.25570309,13.00448,13.610523,13.980458
734756,0.39657118,0.30458103,0.25789951,14.30057,13.778295,13.727193
734757,0.38272397,0.30369398,0.2587997,16.301338,14.939566,13.925426
734758,0.38126419,0.30198799,0.25874947,16.149712,15.634711,14.417502
734759,0.38433943,0.30314887,0.25919379,15.104534,15.050056,14.508462
734760,0.37211144,0.30114592,0.25924567,14.827317,14.866211,14.421142
734761,0.36077937,0.29888078,0.25903424,13.57523,14.166514,14.243544
734762,0.34977989,0.29648898,0.25883131,13.81775,13.879969,13.938663
734763,0.3403021,0.29398181,0.25830511,13.152651,13.560855,13.767633
734764,0.33288141,0.29140957,0.25780997,13.854026,13.764064,13.63911
734765,0.34989721,0.29016769,0.25739771,13.021969,13.495774,13.716346
734766,0.39441667,0.29607965,0.25748436,12.790151,13.093897,13.515305
734767,0.39104835,0.30019958,0.25804948,12.624272,12.942206,13.428871
734768,0.38083762,0.29963861,0.25828752,13.211784,13.116274,13.325708
734769,0.37105263,0.29812716,0.25831032,13.171711,13.248304,13.385092
734770,0.36245681,0.29663874,0.25824171,13.128947,13.144585,13.121058
734771,0.35253274,0.29507234,0.25849375,12.731207,12.927194,13.326735
734772,0.34295335,0.29353782,0.25911876,13.264791,13.083092,13.302881
734773,0.33235109,0.29021195,0.25770722,13.93167,13.49633,13.311055
734774,0.32396509,0.28753943,0.25707511,14.449546,13.913034,13.448301
734775,0.31662835,0.28542817,0.25666506,14.220427,13.927736,13.58957
734776,0.30745425,0.28284058,0.25619383,14.531067,14.106433,13.683717
734777,0.29696268,0.28002196,0.25572914,14.232231,14.060191,13.744296
734778,0.28826641,0.27724718,0.25518333,14.152388,13.967756,13.644908
734779,0.28098376,0.2746147,0.25458545,14.116056,13.942103,13.543827
734780,0.2742303,0.27211981,0.2538965,13.865784,13.839593,13.542008
734781,0.26939923,0.26984598,0.25326156,13.61366,13.705732,13.509653
734782,0.2709168,0.2685856,0.25268258,13.776326,13.661326,13.50033
734783,0.28485536,0.268963,0.25239999,12.997971,13.437168,13.489833
734784,0.35741041,0.28319537,0.25282431,10.729822,12.18362,13.187526
734785,0.42428929,0.34237656,0.26647219,9.9989357,11.178055,12.537004
734786,0.41589534,0.34156841,0.27473739,9.9096648,10.776578,12.010365
734787,0.42160437,0.34461503,0.27852479,11.779588,11.413892,11.821605
734788,0.41819469,0.34084083,0.27975025,12.155016,12.041202,12.046343
734789,0.43749967,0.35653838,0.28912317,12.180109,12.1602,12.17515
734790,0.43192607,0.35508376,0.30194088,11.715729,12.054984,12.195216
734791,0.41368337,0.34203664,0.29655875,9.6202062,11.013697,12.004728
734792,0.40280703,0.33501115,0.29343571,8.7631755,10.104482,11.507969
734793,0.39473138,0.32950687,0.29073367,8.3191323,9.5306722,11.027268
734794,0.3894697,0.32634438,0.28840355,8.9110356,9.5202984,10.678447
734795,0.39170363,0.32495258,0.28692249,9.0807088,9.7404693,10.579696
734796,0.39966233,0.32516565,0.2860569,8.435345,9.3778529,10.501271
734797,0.40712582,0.32625618,0.28530904,7.7230256,8.88751,10.240697
734798,0.40104779,0.32665489,0.28435082,6.6274672,8.1804352,9.8715099
734799,0.39410011,0.32621903,0.28306402,6.0594303,7.5464498,9.4393131
734800,0.39222278,0.32561071,0.28232653,6.6941006,7.528782,9.0902213
734801,0.38874207,0.32439647,0.28152974,6.6688798,7.6012069,8.9520336
734802,0.38436503,0.32214653,0.28048212,7.4744989,7.8425571,8.8647531
734803,0.38056601,0.31935087,0.28011783,7.8656043,8.2383122,8.9692859
734804,0.3762636,0.31845887,0.27990008,7.8394375,8.2160227,9.0056561
734805,0.37284246,0.31653765,0.27942354,8.7468902,8.6487938,9.0685883
734806,0.36948878,0.31571635,0.27954025,9.1254216,9.092451,9.2632701
734807,0.36946118,0.31565588,0.27980382,9.9650108,9.6362996,9.5149751
734808,0.36624287,0.31422119,0.27992722,9.0444815,9.4010313,9.704652
734809,0.36485786,0.31343036,0.27945265,9.54865,9.5139887,9.6970181
734810,0.36381236,0.31278492,0.27924543,9.714146,9.7056916,9.8041132
734811,0.36259886,0.31238687,0.27911984,10.256678,9.9963008,9.9267149
734812,0.35687787,0.31129523,0.27908593,10.350889,10.165831,10.079151
734813,0.35283418,0.31021623,0.27894698,10.270187,10.268926,10.234352
734814,0.34860163,0.30840836,0.27845143,9.5078249,9.9058359,10.231349
734815,0.34807049,0.3071548,0.27764023,8.9900235,9.6141337,10.133502
734816,0.35106627,0.30593788,0.2768185,8.9541979,9.3448141,9.9394354
734817,0.34992155,0.30505808,0.27599536,8.3861249,9.0670112,9.8074886
734818,0.34876277,0.30374398,0.27485292,7.7084668,8.6278397,9.6026008
734819,0.34791581,0.30337742,0.27355102,7.1909767,8.2074052,9.332891
734820,0.34552604,0.30413139,0.27219854,6.734216,7.7186728,9.0586288
734821,0.34369899,0.30332271,0.2714242,6.3153705,7.4401741,8.7557026
734822,0.3408202,0.3017536,0.2708234,5.7274325,6.9875341,8.4887281
734823,0.3477496,0.3076019,0.27932597,4.5344643,6.2507244,8.1457244
734824,0.34456234,0.30260528,0.27703847,4.2455005,5.709517,7.7526539
734825,0.33456328,0.29458765,0.27077605,4.2143747,5.3731945,7.3789595
734826,0.33779338,0.29644482,0.27035524,5.6410183,6.0239844,7.2579191
734827,0.33629364,0.29635271,0.27044687,5.304177,6.1372579,7.3250343
734828,0.33635806,0.29615619,0.27013337,5.6285135,6.1747287,7.2885239
734829,0.33349622,0.29539025,0.26976641,5.1880058,6.0708328,7.2819238
734830,0.3347651,0.29507908,0.26906573,5.6873517,6.1032361,7.1927762
734831,0.33799261,0.29642944,0.26910579,6.5773973,6.6134162,7.2706585
734832,0.33855425,0.29721128,0.2694594,6.594807,6.9709787,7.4844141
734833,0.33452353,0.29520724,0.26916891,5.4676201,6.3932307,7.4710653
734834,0.3362981,0.29500279,0.26869027,5.7519923,6.3597456,7.321966
734835,0.3375179,0.29463709,0.26824213,5.6513445,6.2533028,7.2523775
734836,0.33787668,0.29355744,0.26781982,4.4802945,5.8249663,7.1466941
734837,0.33983903,0.29213268,0.26689637,4.417123,5.3075998,6.8313738
734838,0.3468306,0.29364054,0.26634481,5.0961781,5.6700065,6.7432597
734839,0.35433663,0.2944263,0.2664699,5.5861729,5.7286574,6.7217865
734840,0.4096421,0.31024986,0.26736478,6.0784018,6.4139982,6.8701558
734841,0.42341352,0.3326391,0.26963572,4.75162,5.6511264,6.7294958
734842,0.43950933,0.3608614,0.29109896,5.5842597,5.8898044,6.5798804
734843,0.43048011,0.35774782,0.31599654,4.3389288,5.4759417,6.512562
734844,0.41795716,0.34389112,0.30072362,3.2947622,4.6359147,6.3064213
734845,0.43026164,0.35493441,0.30868823,3.2556408,4.2850889,5.9323864
734846,0.42200111,0.34684787,0.30416889,3.3250463,4.0685238,5.6506679
734847,0.43134605,0.35638591,0.31483161,4.0891178,4.6043373,5.4766864
734848,0.41915363,0.34357339,0.30427143,2.731561,3.956093,5.3990255
734849,0.40555172,0.33270191,0.29393557,1.858728,3.2496178,5.1753813
734850,0.42371962,0.34701371,0.29738517,3.1134693,3.5071359,4.7829677
734851,0.43138988,0.35571092,0.3082915,3.5060191,3.8885087,4.9370653
734852,0.43344439,0.35844697,0.31577565,3.2795885,3.9741958,4.9838522
734853,0.42652766,0.35190224,0.31095724,2.7316828,3.6054264,4.8948566
734854,0.43657466,0.36343461,0.32059505,3.20711,3.6977454,4.7475609
734855,0.42918356,0.35304883,0.31287478,2.6310888,3.4787202,4.7042779
734859,0.43010439,0.35660408,0.31586042,1.9162524,2.7072254,4.0752838
734860,0.44038798,0.36675683,0.32469106,3.0080512,2.8914082,3.9270228
734861,0.44044825,0.36172887,0.31748912,4.7781507,4.2451721,4.1806343
734862,0.44077401,0.36748465,0.32277236,3.5605348,4.2009707,4.685241
734863,0.44414916,0.36373539,0.32306337,3.76521,3.9096374,4.6383229
734864,0.43743679,0.35434126,0.30976628,5.2649034,4.757517,4.7206332
734865,0.43397915,0.35265516,0.30865999,5.344444,5.2694235,5.2102341
734866,0.42574255,0.34790367,0.30715972,4.5510684,4.9763056,5.3657022
734867,0.4281645,0.35134167,0.30321766,3.53887,4.4143539,5.165362
734868,0.43802252,0.36329503,0.32414731,2.512045,3.602284,4.9350765
734869,0.43933122,0.36302801,0.32204692,3.2420431,3.3317997,4.4609086
734870,0.45517471,0.37059452,0.32479085,6.3254271,5.0087968,4.614804
734871,0.45580941,0.37746518,0.33275938,5.9352017,5.9403672,5.3385162
734872,0.43884316,0.36027493,0.31961754,4.2268793,4.8283416,5.3998336
734873,0.43679137,0.35857431,0.31424907,3.8411845,4.6219047,5.2466786
734874,0.45188181,0.38038196,0.33928913,3.884459,4.2426088,5.0767336
734875,0.4455187,0.37420039,0.34119643,2.7151125,3.5798124,4.7167614
734876,0.45077928,0.37370038,0.3360602,3.4752849,3.593488,4.4559829
734877,0.4472674,0.36763635,0.32771156,3.5095097,3.894166,4.5081983
734878,0.44254459,0.3616969,0.3174676,4.0699338,4.0794202,4.5601865
734879,0.44345058,0.36096847,0.31600226,4.8525506,4.6845423,4.751384
734880,0.43577612,0.35371232,0.31021693,4.8471314,4.8690327,4.9787106
734881,0.43453587,0.3516528,0.30749924,4.7874375,4.9576412,5.0872793
734882,0.42877044,0.34995843,0.30710207,3.4955751,4.4524761,5.087669
734883,0.41931223,0.34177084,0.30335108,2.6961244,3.716527,4.8106156
734884,0.4143979,0.33631816,0.29806386,1.9572457,3.1277012,4.4728836
734885,0.40816326,0.34586033,0.31144804,1.3449847,2.4866579,4.1804795
734886,0.41384775,0.35101722,0.30789263,1.2112309,2.0217637,3.8001981
734888,0.42982685,0.35833811,0.31879452,2.8060186,1.9734843,3.1724471
734889,0.43209905,0.35691142,0.31914929,2.1564257,2.5610252,3.2077883
734890,0.4397588,0.36515489,0.32452567,2.9224144,2.6663899,3.3440432
734891,0.43248183,0.35791969,0.31935069,3.0846268,3.2728894,3.6126705
734892,0.4292251,0.35265096,0.3092993,2.7647426,3.2106689,3.6865103
734893,0.43271487,0.35331929,0.30742607,2.1476248,2.8299589,3.7259898
734894,0.42164295,0.34586455,0.30179492,2.1748063,2.6610162,3.6013736
734895,0.41909252,0.34267495,0.29761584,2.9297732,3.0019924,3.6065954
734896,0.41398206,0.34027601,0.29549285,2.6012397,3.1022359,3.7266889
734897,0.41095048,0.33521935,0.2915347,1.9714588,2.6600972,3.6447696
734898,0.40277294,0.33154189,0.28877882,1.3895176,2.2989315,3.5057122
734929,0.42289622,0.35491071,0.29377349,5.6994308,4.0244613,2.707432
734930,0.42151056,0.35444199,0.29476946,6.585251,5.0339312,3.4980609
734931,0.42238731,0.35518647,0.29686825,7.1473739,5.8240247,4.1070562
734932,0.41820599,0.35289553,0.29819183,6.3645686,5.864375,4.5879076
734933,0.4173164,0.35203055,0.29823442,5.9793269,5.613429,4.7517188
734934,0.41165848,0.35317045,0.29878923,4.2922391,5.0335046,4.7867939
734935,0.4067661,0.34654754,0.29656338,3.9706552,4.2555997,4.4662218
734936,0.40245639,0.3420991,0.29425352,2.6480579,3.7159626,4.2602773
734937,0.41832254,0.36047263,0.30144695,2.9833448,3.3451916,3.9648368
734938,0.40915152,0.34921831,0.29916693,3.7151488,3.4757266,3.7905114
734939,0.41418387,0.35023641,0.29707956,4.8472289,4.3055828,4.0113467
734940,0.42007022,0.35490247,0.29889029,5.8709398,5.0696021,4.3565014
734941,0.41604086,0.35222382,0.29971238,6.1184759,5.4046033,4.6957836
734942,0.41398514,0.35082656,0.29992593,6.0151151,5.760453,4.9575234
734943,0.41011982,0.34712866,0.29892714,6.0799517,5.6416178,5.0588863
734944,0.40480811,0.34423398,0.29814535,6.2720945,5.7038127,5.1564994
734945,0.40123085,0.34318152,0.29831006,7.2763107,6.3807753,5.3767454
734946,0.39472622,0.34086741,0.29909331,7.0776926,6.6798102,5.7095299
734947,0.39432168,0.33879825,0.29895138,6.3063729,6.4834052,5.8739144
734948,0.39049255,0.33660764,0.29743587,5.7137636,5.8957615,5.7412441
734949,0.3828569,0.33316987,0.29564632,5.3692985,5.4999245,5.5606383
734950,0.37947907,0.33155194,0.2943584,5.732101,5.6318751,5.4739318
734951,0.37431797,0.33091122,0.29393729,6.4400631,5.9594963,5.5289072
734952,0.3686439,0.33013406,0.29429492,7.3472217,6.5379077,5.7338136
734953,0.36198086,0.32887577,0.29514164,7.8333475,7.0564343,6.0648869
734954,0.35501205,0.32685055,0.29588423,8.1199931,7.3631529,6.3318172
734955,0.34408289,0.32447879,0.29608106,7.5268929,7.2936091,6.5038794
734956,0.33499902,0.32182955,0.2953699,7.5205685,7.1840946,6.532948
734957,0.33000475,0.31947046,0.29492538,7.9238927,7.3821224,6.6059576
734958,0.32310893,0.31744188,0.29459438,7.1637227,7.2778203,6.7204247
734959,0.32234196,0.31703738,0.29688547,6.7821112,6.9882432,6.675074
734960,0.32318295,0.31462873,0.29419505,6.1688018,6.6147495,6.5401729
734961,0.31955799,0.31077185,0.29022748,5.2695038,5.8145377,6.2618752
734962,0.31778575,0.31027672,0.28837695,6.0782577,5.9060899,6.0480447
734963,0.31607696,0.31108104,0.28845327,7.2951888,6.699357,6.1578888
734964,0.3166675,0.31102381,0.28975712,7.1979515,7.0594453,6.4300735
734965,0.31593658,0.30955607,0.28931595,6.3949653,6.7285354,6.4909394
734966,0.31431038,0.30813495,0.28792218,6.9064853,6.5442684,6.3800687
734967,0.31543639,0.30736803,0.28865823,5.7440745,6.4513756,6.4285454
734968,0.32305482,0.30523205,0.28584081,5.8051114,5.8843751,6.1881912
734969,0.34965512,0.30707238,0.28541522,6.1055467,6.2080202,6.165741
734970,0.40082591,0.31342799,0.2856432,6.9475681,6.5602837,6.232238
734971,0.4164047,0.33521371,0.28691803,7.1852196,6.8465946,6.3920195
734972,0.40127445,0.3370628,0.28856404,6.8566771,6.8608996,6.5148008
734973,0.39594219,0.33525392,0.2892738,6.2950194,6.5532924,6.5036172
734974,0.3938108,0.33375793,0.28928082,6.4903934,6.4706913,6.4187565
734975,0.40935514,0.33830739,0.28999919,5.9002371,6.4550966,6.4473909
734976,0.4016306,0.3384319,0.28950874,5.1563005,5.7409157,6.2308447
734977,0.38943788,0.33422246,0.28866467,4.6651892,5.3118278,5.9679338
734978,0.39036312,0.33344597,0.28812135,5.9507108,5.7049306,5.8326195
734979,0.39857066,0.33576036,0.28943146,6.8172321,6.3717975,6.0338309
734980,0.39635108,0.33724971,0.29086135,7.1263168,6.7433763,6.264338
734981,0.40189778,0.33724144,0.29218122,7.0326698,6.9301658,6.4734229
734982,0.42105469,0.34539357,0.29298723,6.7340642,6.8086964,6.5521778
734983,0.42079802,0.3518554,0.2942609,6.7472367,6.7318473,6.5472588
734984,0.42717565,0.35443955,0.29604084,7.182403,6.9637503,6.6076802
734985,0.43454173,0.3654835,0.30041452,7.291881,7.1614766,6.712987
734986,0.44326818,0.37729871,0.31715142,7.6343852,7.3426184,6.8423642
734987,0.42728555,0.36419807,0.31936551,8.6247312,7.7776526,6.9982645
734988,0.43838205,0.36786891,0.32016842,10.738526,8.9617723,7.3921939
734989,0.42561037,0.36189324,0.31731447,11.30116,10.048352,8.0890499
734990,0.41131848,0.35558804,0.31468962,11.075233,10.051977,8.4868633
734991,0.40055916,0.35185285,0.31412211,12.250218,10.766555,8.830275
734992,0.39591572,0.34871107,0.31457286,11.665807,10.943656,9.2465303
734993,0.39718168,0.34683798,0.31379212,10.701032,10.459965,9.3348351
734994,0.39237178,0.34450823,0.3123132,11.007368,10.305243,9.2583968
734995,0.44782864,0.36351781,0.31308143,10.351808,10.35333,9.365679
734996,0.45263234,0.38018319,0.32299269,9.3148638,9.6052794,9.2187085
734997,0.44303128,0.37293099,0.32847574,9.599301,9.3568625,8.9774473
734998,0.42988539,0.3645565,0.3237884,10.074445,9.582794,8.940976
734999,0.42469874,0.36067059,0.32122272,11.590693,10.434564,9.1413824
735000,0.42243085,0.35920399,0.32154491,12.688143,11.234971,9.5413695
735001,0.41256652,0.35521225,0.32235744,13.258137,12.047284,10.05406
735002,0.41235422,0.35353302,0.32222052,11.557964,11.50262,10.324535
735003,0.40542464,0.35073791,0.32033433,10.242627,10.545224,10.090391
735004,0.39671511,0.34858761,0.31858874,10.620425,10.306592,9.7943721
735005,0.39460005,0.3472958,0.31797546,10.439412,10.582128,9.8257937
735006,0.42519725,0.34702446,0.31657265,9.3152085,9.8187875,9.6724273
735007,0.42473434,0.34855153,0.3145412,9.4923662,9.425771,9.3595801
735008,0.41562335,0.34883802,0.31444393,10.412907,10.059047,9.3936047
735009,0.41098002,0.34808889,0.31487689,11.566036,10.585243,9.5560723
735010,0.42342109,0.35361687,0.31708822,13.054984,11.672853,9.9584292
735014,0.40629194,0.35361908,0.32453405,16.396559,14.638495,12.026132
735015,0.39883513,0.34929017,0.32371788,15.954497,14.832893,12.487246
735016,0.36923269,0.34368114,0.32275909,15.221112,14.43633,12.629523
735017,0.33875361,0.33696301,0.32221714,14.877119,14.2165,12.640165
735018,0.31518367,0.32977521,0.32060659,15.285554,14.316178,12.661813
735019,0.31775973,0.32752292,0.32125058,15.414683,14.527565,12.808607
735027,0.457766,0.38298315,0.33822992,12.532483,12.598856,12.151524
735028,0.44924421,0.37741551,0.3390221,13.522006,12.840534,12.089796
735029,0.43529598,0.36887032,0.33575116,13.843547,13.300143,12.249049
735030,0.42462712,0.3642593,0.3330677,12.973908,13.032979,12.318419
735031,0.41147994,0.35843675,0.33083419,12.542279,12.575212,12.138462
735032,0.41563264,0.35568028,0.32923504,12.950658,12.689664,12.042577
735033,0.4365799,0.35875984,0.32817964,13.372792,13.181936,12.045682
735034,0.47275405,0.39760467,0.35967503,12.55319,12.773408,12.194079
735035,0.45387277,0.38077096,0.34936752,12.367049,12.34618,12.005375
735036,0.44955722,0.37569378,0.34374657,12.868923,12.580171,12.002605
735037,0.46049856,0.37977545,0.34257059,13.108546,12.759397,11.992718
735038,0.45022202,0.376516,0.34230648,13.3911,12.805251,12.042881
735039,0.43955185,0.3701939,0.34027011,13.561849,13.185462,12.261815
735040,0.43591538,0.36682362,0.33791678,13.511868,13.441343,12.33618
735041,0.4663527,0.38356797,0.34207035,13.836643,13.320903,12.39038
735042,0.47294951,0.3900452,0.35107224,14.265487,13.579331,12.507411
735043,0.47143528,0.38923148,0.3583237,14.088806,13.785183,12.717913
735044,0.45296027,0.37665114,0.34570804,13.816913,13.493474,12.706431
735045,0.45672823,0.37818205,0.34240238,13.234925,13.348871,12.688801
735046,0.47354868,0.38929665,0.34806359,12.918251,12.963391,12.545157
735047,0.45489369,0.37937673,0.34514359,13.276371,12.925975,12.41553
735048,0.44294498,0.37249578,0.34160999,14.144686,13.466915,12.499321
735049,0.43064535,0.36740581,0.33938084,15.397914,14.150315,12.738165
735050,0.44584087,0.37738765,0.34881316,15.81508,14.911728,13.196076
735051,0.46376012,0.38443628,0.35239959,15.412155,14.738199,13.440884
735052,0.45971304,0.38078263,0.34642159,15.142853,14.783866,13.532681
735053,0.45321163,0.37754065,0.34365302,14.324146,14.205819,13.473253
735054,0.44953221,0.37468646,0.34169661,15.17551,14.389131,13.388366
735055,0.44181987,0.3711747,0.34028558,16.713499,15.403186,13.638961
735056,0.45047876,0.37296848,0.34117408,17.432045,16.180918,14.128917
735057,0.47284034,0.38250663,0.34405302,17.71485,16.613042,14.572445
735058,0.45926155,0.37785556,0.34221045,17.478121,16.644795,14.83449
735059,0.4655528,0.38115139,0.34560147,16.644435,16.461687,14.992198
735060,0.46791236,0.38182288,0.34593392,16.317796,15.984191,14.87886
735061,0.47155724,0.38489269,0.34896228,16.093353,15.864905,14.807961
735062,0.48807476,0.3956902,0.35721161,15.440947,15.551756,14.745404
735063,0.4868465,0.39290257,0.35600774,14.555346,14.804918,14.439022
735064,0.49318719,0.40327654,0.36294562,14.914749,14.766201,14.175354
735065,0.49961151,0.41086471,0.37994856,14.542733,14.689794,14.164888
735066,0.49778559,0.40925495,0.37252521,14.151877,14.366408,14.076566
735067,0.49162695,0.40288295,0.36651143,13.993367,14.14518,13.87021
