time, 5cm,20cm,50cm,5cm,20cm,50cm
734643,0.15780275,0.21564578,0.24085209,14.14314,12.974549,11.606505
734644,0.15529324,0.21351732,0.23938737,14.870085,13.342083,11.816159
734645,0.15139584,0.20940995,0.2375253,16.119866,13.997117,12.091514
734646,0.15235069,0.20725109,0.23595924,15.024826,14.211235,12.442961
734647,0.15708706,0.20753467,0.23545017,14.734823,13.688341,12.448041
734648,0.15145818,0.20404428,0.23368555,14.830073,13.983282,12.513764
734649,0.1451504,0.19943323,0.23135678,14.495361,13.52849,12.46753
734650,0.1383752,0.19317947,0.22808522,14.75922,13.851982,12.501273
734651,0.13648342,0.18981917,0.22529378,13.104263,13.316704,12.51024
734652,0.13354388,0.18756216,0.22306621,13.564861,12.770816,12.221054
734653,0.13011758,0.18291315,0.22026802,15.110447,13.486195,12.422686
734654,0.1261447,0.17680085,0.21725389,16.68138,14.367956,12.70997
734655,0.15261961,0.17806904,0.21543371,14.583013,14.549879,12.915769
734656,0.21718029,0.19093125,0.21650616,14.123182,13.491968,12.730598
734657,0.20747019,0.19026447,0.21638774,14.940571,13.799991,12.637036
734658,0.19069246,0.18802799,0.21564453,15.926393,14.385951,12.793254
734659,0.17507707,0.18471488,0.21462798,17.383083,15.22337,13.102894
734660,0.17937099,0.18360237,0.21398966,18.231067,16.125044,13.584882
734661,0.21443481,0.18761575,0.21447134,18.308032,16.499579,14.027842
734662,0.22283635,0.19165361,0.21469782,17.806518,16.583598,14.347771
734663,0.29313121,0.23570172,0.22126048,16.194929,15.972974,14.449198
734664,0.27497401,0.23633253,0.22249671,14.70484,14.97247,14.193685
734665,0.26276191,0.23444037,0.22287587,14.521849,14.422877,13.829285
734672,0.21082679,0.21812938,0.22111682,14.995918,14.90877,14.033211
734673,0.21320802,0.21650811,0.22082396,14.888159,14.673391,13.880498
734674,0.25277529,0.21874651,0.22077728,13.737447,14.072,13.684036
734675,0.31196746,0.22869422,0.22130179,13.407926,13.53479,13.376793
734676,0.34596316,0.26482574,0.2226285,15.188913,14.10468,13.249498
734677,0.3493165,0.27997123,0.22529122,15.430853,14.745729,13.508365
734678,0.34542563,0.2896838,0.22933988,14.95363,14.559458,13.634736
734679,0.34110399,0.28533218,0.23136718,14.085624,14.208628,13.595417
734680,0.34845051,0.28775116,0.23254047,13.447538,13.669527,13.404034
734681,0.33652657,0.28576591,0.23354626,16.016803,14.267235,13.269095
734682,0.3189367,0.2796081,0.23414642,18.230937,15.875583,13.734444
734683,0.29904507,0.27278587,0.2343891,19.863345,17.30082,14.488241
734684,0.28780005,0.26751223,0.23397408,18.352991,17.677947,15.22969
734685,0.28504213,0.26476692,0.23431454,16.892254,16.454248,15.204521
734686,0.27846679,0.26182521,0.23431794,15.820188,15.87122,14.99221
734687,0.27572139,0.25951423,0.23431512,14.707329,15.063329,14.669887
734688,0.26626394,0.25633249,0.23400828,15.076444,14.739105,14.308698
734689,0.25481164,0.25256775,0.23343299,14.846807,14.743863,14.181402
734690,0.24351522,0.2480743,0.23284957,16.039255,14.966261,14.0825
734691,0.22870577,0.24236445,0.23188128,16.876433,15.830835,14.336101
734692,0.22085223,0.23835114,0.23116217,16.336956,15.668895,14.521541
734693,0.21140608,0.23367523,0.23019049,16.155045,15.651431,14.570379
734694,0.20180735,0.22894536,0.22918989,15.813397,15.412594,14.530209
734695,0.19493606,0.22499354,0.22821324,16.20544,15.456639,14.484794
734696,0.18978246,0.22143472,0.22729297,16.841356,15.796835,14.566602
734697,0.18279471,0.2171282,0.2260758,16.875847,15.959942,14.683321
734698,0.1888043,0.21600279,0.22544994,15.668108,15.793751,14.806364
734699,0.23536198,0.21812932,0.22546073,13.561929,14.467843,14.5115
734700,0.26906069,0.21951674,0.22535695,14.587291,14.078763,14.009415
734701,0.25216952,0.21971438,0.22501794,15.142314,14.658359,13.980371
734702,0.29900947,0.2218984,0.22493571,15.226263,14.844767,14.066832
734703,0.28799175,0.22417626,0.22526139,14.752144,14.583083,14.049853
734704,0.27111391,0.22457341,0.22537677,14.709528,14.452758,13.954808
734705,0.26008458,0.22436853,0.22538928,15.096489,14.617179,13.935196
734706,0.24992659,0.22384458,0.22547132,15.16069,14.731708,13.98024
734707,0.24545895,0.22355659,0.2254699,14.962001,14.721429,14.027127
734708,0.24292977,0.22349868,0.22549805,13.673588,14.13205,13.930762
734709,0.26202159,0.22410686,0.22561056,12.877235,13.429919,13.616699
734710,0.26932297,0.22446547,0.2256217,13.48566,13.271255,13.305619
734711,0.26012681,0.2242441,0.2254671,14.684701,13.978909,13.326928
734712,0.26165709,0.22424769,0.225442,15.160314,14.413025,13.534184
734713,0.27581347,0.22473946,0.22538631,15.609407,14.767325,13.722357
734714,0.27111328,0.22520099,0.22529802,15.268987,14.849632,13.894442
734715,0.26785371,0.22549263,0.22543675,14.397729,14.502943,13.915981
734716,0.26710895,0.22591023,0.22553459,13.798308,13.943277,13.733071
734717,0.25944524,0.22551091,0.22553534,14.249054,13.788065,13.528408
734718,0.2424682,0.22336501,0.22510369,16.04481,14.696706,13.605308
734719,0.2313587,0.22175621,0.22471607,16.115764,15.339995,13.988405
734720,0.23510859,0.22128325,0.22460244,16.59017,15.458173,14.181791
734721,0.22999471,0.22019883,0.22432883,17.263884,15.999344,14.441925
734722,0.22455627,0.21946508,0.22410419,16.940607,16.134613,14.698679
734723,0.22584041,0.21918347,0.22420807,15.946609,15.74471,14.75882
734724,0.24694978,0.21953734,0.2241548,14.697874,14.997031,14.580982
734725,0.31996584,0.2358896,0.22464409,13.975459,14.350256,14.260685
734726,0.32355405,0.2472237,0.2256035,13.821029,13.921819,13.936164
