month,day,hour,doy,neutron_fluxAVE,neutron_fluxSTD,neutron_fluxQC
 1, 1, 0,  1,-9999,9999,3
 1, 1, 1,  1,-9999,9999,3
 1, 1, 2,  1,-9999,9999,3
 1, 1, 3,  1,-9999,9999,3
 1, 1, 4,  1,-9999,9999,3
 1, 1, 5,  1,-9999,9999,3
 1, 1, 6,  1,-9999,9999,3
 1, 1, 7,  1,-9999,9999,3
 1, 1, 8,  1,-9999,9999,3
 1, 1, 9,  1,-9999,9999,3
 1, 1,10,  1,-9999,9999,3
 1, 1,11,  1,-9999,9999,3
 1, 1,12,  1,-9999,9999,3
 1, 1,13,  1,-9999,9999,3
 1, 1,14,  1,-9999,9999,3
 1, 1,15,  1,-9999,9999,3
 1, 1,16,  1,-9999,9999,3
 1, 1,17,  1,-9999,9999,3
 1, 1,18,  1,-9999,9999,3
 1, 1,19,  1,-9999,9999,3
 1, 1,20,  1,-9999,9999,3
 1, 1,21,  1,-9999,9999,3
 1, 1,22,  1,-9999,9999,3
 1, 1,23,  1,-9999,9999,3
 1, 2, 0,  2,-9999,9999,3
 1, 2, 1,  2,-9999,9999,3
 1, 2, 2,  2,-9999,9999,3
 1, 2, 3,  2,-9999,9999,3
 1, 2, 4,  2,-9999,9999,3
 1, 2, 5,  2,-9999,9999,3
 1, 2, 6,  2,-9999,9999,3
 1, 2, 7,  2,-9999,9999,3
 1, 2, 8,  2,-9999,9999,3
 1, 2, 9,  2,-9999,9999,3
 1, 2,10,  2,-9999,9999,3
 1, 2,11,  2,-9999,9999,3
 1, 2,12,  2,-9999,9999,3
 1, 2,13,  2,-9999,9999,3
 1, 2,14,  2,-9999,9999,3
 1, 2,15,  2,-9999,9999,3
 1, 2,16,  2,-9999,9999,3
 1, 2,17,  2,-9999,9999,3
 1, 2,18,  2,-9999,9999,3
 1, 2,19,  2,-9999,9999,3
 1, 2,20,  2,-9999,9999,3
 1, 2,21,  2,-9999,9999,3
 1, 2,22,  2,-9999,9999,3
 1, 2,23,  2,-9999,9999,3
 1, 3, 0,  3,-9999,9999,3
 1, 3, 1,  3,-9999,9999,3
 1, 3, 2,  3,-9999,9999,3
 1, 3, 3,  3,-9999,9999,3
 1, 3, 4,  3,-9999,9999,3
 1, 3, 5,  3,-9999,9999,3
 1, 3, 6,  3,-9999,9999,3
 1, 3, 7,  3,-9999,9999,3
 1, 3, 8,  3,-9999,9999,3
 1, 3, 9,  3,-9999,9999,3
 1, 3,10,  3,-9999,9999,3
 1, 3,11,  3,-9999,9999,3
 1, 3,12,  3,-9999,9999,3
 1, 3,13,  3,-9999,9999,3
 1, 3,14,  3,-9999,9999,3
 1, 3,15,  3,-9999,9999,3
 1, 3,16,  3,-9999,9999,3
 1, 3,17,  3,-9999,9999,3
 1, 3,18,  3,-9999,9999,3
 1, 3,19,  3,-9999,9999,3
 1, 3,20,  3,-9999,9999,3
 1, 3,21,  3,-9999,9999,3
 1, 3,22,  3,-9999,9999,3
 1, 3,23,  3,-9999,9999,3
 1, 4, 0,  4,-9999,9999,3
 1, 4, 1,  4,-9999,9999,3
 1, 4, 2,  4,-9999,9999,3
 1, 4, 3,  4,-9999,9999,3
 1, 4, 4,  4,-9999,9999,3
 1, 4, 5,  4,-9999,9999,3
 1, 4, 6,  4,-9999,9999,3
 1, 4, 7,  4,-9999,9999,3
 1, 4, 8,  4,-9999,9999,3
 1, 4, 9,  4,-9999,9999,3
 1, 4,10,  4,-9999,9999,3
 1, 4,11,  4,-9999,9999,3
 1, 4,12,  4,-9999,9999,3
 1, 4,13,  4,-9999,9999,3
 1, 4,14,  4,-9999,9999,3
 1, 4,15,  4,-9999,9999,3
 1, 4,16,  4,-9999,9999,3
 1, 4,17,  4,-9999,9999,3
 1, 4,18,  4,-9999,9999,3
 1, 4,19,  4,-9999,9999,3
 1, 4,20,  4,-9999,9999,3
 1, 4,21,  4,-9999,9999,3
 1, 4,22,  4,-9999,9999,3
 1, 4,23,  4,-9999,9999,3
 1, 5, 0,  5,-9999,9999,3
 1, 5, 1,  5,-9999,9999,3
 1, 5, 2,  5,-9999,9999,3
 1, 5, 3,  5,-9999,9999,3
 1, 5, 4,  5,-9999,9999,3
 1, 5, 5,  5,-9999,9999,3
 1, 5, 6,  5,-9999,9999,3
 1, 5, 7,  5,-9999,9999,3
 1, 5, 8,  5,-9999,9999,3
 1, 5, 9,  5,-9999,9999,3
 1, 5,10,  5,-9999,9999,3
 1, 5,11,  5,-9999,9999,3
 1, 5,12,  5,-9999,9999,3
 1, 5,13,  5,-9999,9999,3
 1, 5,14,  5,-9999,9999,3
 1, 5,15,  5,-9999,9999,3
 1, 5,16,  5,-9999,9999,3
 1, 5,17,  5,-9999,9999,3
 1, 5,18,  5,-9999,9999,3
 1, 5,19,  5,-9999,9999,3
 1, 5,20,  5,-9999,9999,3
 1, 5,21,  5,-9999,9999,3
 1, 5,22,  5,-9999,9999,3
 1, 5,23,  5,-9999,9999,3
 1, 6, 0,  6,-9999,9999,3
 1, 6, 1,  6,-9999,9999,3
 1, 6, 2,  6,-9999,9999,3
 1, 6, 3,  6,-9999,9999,3
 1, 6, 4,  6,-9999,9999,3
 1, 6, 5,  6,-9999,9999,3
 1, 6, 6,  6,-9999,9999,3
 1, 6, 7,  6,-9999,9999,3
 1, 6, 8,  6,-9999,9999,3
 1, 6, 9,  6,-9999,9999,3
 1, 6,10,  6,-9999,9999,3
 1, 6,11,  6,-9999,9999,3
 1, 6,12,  6,-9999,9999,3
 1, 6,13,  6,-9999,9999,3
 1, 6,14,  6,-9999,9999,3
 1, 6,15,  6,-9999,9999,3
 1, 6,16,  6,-9999,9999,3
 1, 6,17,  6,-9999,9999,3
 1, 6,18,  6,-9999,9999,3
 1, 6,19,  6,-9999,9999,3
 1, 6,20,  6,-9999,9999,3
 1, 6,21,  6,-9999,9999,3
 1, 6,22,  6,-9999,9999,3
 1, 6,23,  6,-9999,9999,3
 1, 7, 0,  7,-9999,9999,3
 1, 7, 1,  7,-9999,9999,3
 1, 7, 2,  7,-9999,9999,3
 1, 7, 3,  7,-9999,9999,3
 1, 7, 4,  7,-9999,9999,3
 1, 7, 5,  7,-9999,9999,3
 1, 7, 6,  7,-9999,9999,3
 1, 7, 7,  7,-9999,9999,3
 1, 7, 8,  7,-9999,9999,3
 1, 7, 9,  7,-9999,9999,3
 1, 7,10,  7,-9999,9999,3
 1, 7,11,  7,-9999,9999,3
 1, 7,12,  7,-9999,9999,3
 1, 7,13,  7,-9999,9999,3
 1, 7,14,  7,-9999,9999,3
 1, 7,15,  7,-9999,9999,3
 1, 7,16,  7,-9999,9999,3
 1, 7,17,  7,-9999,9999,3
 1, 7,18,  7,-9999,9999,3
 1, 7,19,  7,-9999,9999,3
 1, 7,20,  7,-9999,9999,3
 1, 7,21,  7,-9999,9999,3
 1, 7,22,  7,-9999,9999,3
 1, 7,23,  7,-9999,9999,3
 1, 8, 0,  8,-9999,9999,3
 1, 8, 1,  8,-9999,9999,3
 1, 8, 2,  8,-9999,9999,3
 1, 8, 3,  8,-9999,9999,3
 1, 8, 4,  8,-9999,9999,3
 1, 8, 5,  8,-9999,9999,3
 1, 8, 6,  8,-9999,9999,3
 1, 8, 7,  8,-9999,9999,3
 1, 8, 8,  8,-9999,9999,3
 1, 8, 9,  8,-9999,9999,3
 1, 8,10,  8,-9999,9999,3
 1, 8,11,  8,-9999,9999,3
 1, 8,12,  8,-9999,9999,3
 1, 8,13,  8,-9999,9999,3
 1, 8,14,  8,-9999,9999,3
 1, 8,15,  8,-9999,9999,3
 1, 8,16,  8,-9999,9999,3
 1, 8,17,  8,-9999,9999,3
 1, 8,18,  8,-9999,9999,3
 1, 8,19,  8,-9999,9999,3
 1, 8,20,  8,-9999,9999,3
 1, 8,21,  8,-9999,9999,3
 1, 8,22,  8,-9999,9999,3
 1, 8,23,  8,-9999,9999,3
 1, 9, 0,  9,-9999,9999,3
 1, 9, 1,  9,-9999,9999,3
 1, 9, 2,  9,-9999,9999,3
 1, 9, 3,  9,-9999,9999,3
 1, 9, 4,  9,-9999,9999,3
 1, 9, 5,  9,-9999,9999,3
 1, 9, 6,  9,-9999,9999,3
 1, 9, 7,  9,-9999,9999,3
 1, 9, 8,  9,-9999,9999,3
 1, 9, 9,  9,-9999,9999,3
 1, 9,10,  9,-9999,9999,3
 1, 9,11,  9,-9999,9999,3
 1, 9,12,  9,-9999,9999,3
 1, 9,13,  9,-9999,9999,3
 1, 9,14,  9,-9999,9999,3
 1, 9,15,  9,-9999,9999,3
 1, 9,16,  9,-9999,9999,3
 1, 9,17,  9,-9999,9999,3
 1, 9,18,  9,-9999,9999,3
 1, 9,19,  9,-9999,9999,3
 1, 9,20,  9,-9999,9999,3
 1, 9,21,  9,-9999,9999,3
 1, 9,22,  9,-9999,9999,3
 1, 9,23,  9,-9999,9999,3
 1,10, 0, 10,-9999,9999,3
 1,10, 1, 10,-9999,9999,3
 1,10, 2, 10,-9999,9999,3
 1,10, 3, 10,-9999,9999,3
 1,10, 4, 10,-9999,9999,3
 1,10, 5, 10,-9999,9999,3
 1,10, 6, 10,-9999,9999,3
 1,10, 7, 10,-9999,9999,3
 1,10, 8, 10,-9999,9999,3
 1,10, 9, 10,-9999,9999,3
 1,10,10, 10,-9999,9999,3
 1,10,11, 10,-9999,9999,3
 1,10,12, 10,-9999,9999,3
 1,10,13, 10,-9999,9999,3
 1,10,14, 10,-9999,9999,3
 1,10,15, 10,-9999,9999,3
 1,10,16, 10,-9999,9999,3
 1,10,17, 10,-9999,9999,3
 1,10,18, 10,-9999,9999,3
 1,10,19, 10,-9999,9999,3
 1,10,20, 10,-9999,9999,3
 1,10,21, 10,-9999,9999,3
 1,10,22, 10,-9999,9999,3
 1,10,23, 10,-9999,9999,3
 1,11, 0, 11,-9999,9999,3
 1,11, 1, 11,-9999,9999,3
 1,11, 2, 11,-9999,9999,3
 1,11, 3, 11,-9999,9999,3
 1,11, 4, 11,-9999,9999,3
 1,11, 5, 11,-9999,9999,3
 1,11, 6, 11,-9999,9999,3
 1,11, 7, 11,-9999,9999,3
 1,11, 8, 11,-9999,9999,3
 1,11, 9, 11,-9999,9999,3
 1,11,10, 11,-9999,9999,3
 1,11,11, 11,-9999,9999,3
 1,11,12, 11,-9999,9999,3
 1,11,13, 11,-9999,9999,3
 1,11,14, 11,-9999,9999,3
 1,11,15, 11,-9999,9999,3
 1,11,16, 11,-9999,9999,3
 1,11,17, 11,-9999,9999,3
 1,11,18, 11,-9999,9999,3
