HDFname,Product,Date,Site,ProcessDate,Band,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MOD15A2.A2004017.fn_usmafort.005.2007237042059.FparExtra_QC,MOD15A2,A2004017,fn_usmafort,2007237042059,FparExtra_QC,01000000,01001000,00001000,00100000,00000000,00000000,01001000,01000000,01001000,01000000,01000000,01000000,01001000,00001000,01001000,00001000,01000000,01000000,01000000,01000000,00001000,01000000,00100000,01000000,01001000,01001000,01000000,00001000,01000000,00000000,01000000,01001000,01000000,00001000,01001000,01001000,00100000,01000000,01000100,01000000,00001000,00001000,00100000,00100000,00000000,00000000,00001000,01001000,00001000
MOD15A2.A2004017.fn_usmafort.005.2007237042059.FparLai_QC,MOD15A2,A2004017,fn_usmafort,2007237042059,FparLai_QC,00010000,00010000,00000000,00000000,00010000,00010000,00010000,00010000,00000000,00000000,01110001,00000000,00010000,00000000,00000000,00000000,00000000,00010000,00010000,00000000,00000000,01110001,00010000,00000000,00000000,00000000,00000000,00000000,00010000,00010000,01110001,01100001,00010000,00000000,00010000,00000000,01110001,01100001,00000000,00000000,00000000,00000000,00010000,01110001,00010000,01110001,00010000,00000000,00010000
MOD15A2.A2004017.fn_usmafort.005.2007237042059.FparStdDev_1km,MOD15A2,A2004017,fn_usmafort,2007237042059,FparStdDev_1km,10,8,8,8,8,7,9,8,8,5,248,7,6,7,9,7,7,7,9,6,7,248,8,8,7,8,9,7,4,6,248,248,8,7,9,6,248,248,6,0,7,7,7,248,8,248,7,9,9
MOD15A2.A2004017.fn_usmafort.005.2007237042059.Fpar_1km,MOD15A2,A2004017,fn_usmafort,2007237042059,Fpar_1km,50,52,52,71,71,36,57,70,51,76,27,35,47,36,74,54,69,34,44,47,36,21,73,52,36,38,44,36,80,47,10,15,47,35,44,60,11,12,47,42,35,34,34,11,71,13,36,43,58
MOD15A2.A2004017.fn_usmafort.005.2007237042059.LaiStdDev_1km,MOD15A2,A2004017,fn_usmafort,2007237042059,LaiStdDev_1km,2,2,2,4,4,1,3,4,2,3,248,1,1,1,5,2,4,1,2,1,1,248,5,2,1,1,2,1,4,1,248,248,2,1,2,2,248,248,1,0,1,1,1,248,4,248,1,2,2
MOD15A2.A2004017.fn_usmafort.005.2007237042059.Lai_1km,MOD15A2,A2004017,fn_usmafort,2007237042059,Lai_1km,7,9,9,19,18,5,10,18,8,21,6,5,7,5,20,9,17,5,7,7,5,5,20,9,5,6,7,5,26,7,2,3,7,5,7,11,2,3,7,6,5,5,5,2,18,3,5,7,10
MOD15A2.A2004025.fn_usmafort.005.2007238100743.FparExtra_QC,MOD15A2,A2004025,fn_usmafort,2007238100743,FparExtra_QC,00000000,01000000,01001000,01001000,01001000,00001000,00001000,00001000,01001000,01001000,01001000,00001000,00001000,01000000,01000000,01001000,01001000,01001000,01001000,01001000,00100000,01001000,01001000,01001000,00001000,01001000,01001000,01000000,00001000,01001000,00001000,00001000,01001000,00001000,00001000,01000000,00001000,00001000,01000100,00001000,01001000,00100000,00001000,00001000,00001000,00001000,00001000,00001000,01001000
MOD15A2.A2004025.fn_usmafort.005.2007238100743.FparLai_QC,MOD15A2,A2004025,fn_usmafort,2007238100743,FparLai_QC,01101001,00001000,00010000,00010000,00010000,00010000,00010000,00010000,00010000,00010000,01110001,01110001,00010000,00010000,00010000,00010000,00010000,00010000,00010000,00010000,00000000,01110001,00010000,00010000,00000000,00010000,00010000,00010000,00000000,00010000,00000000,00000000,00010000,00000000,00010000,00000000,00000000,00000000,00000000,00000000,00010000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00010000
MOD15A2.A2004025.fn_usmafort.005.2007238100743.FparStdDev_1km,MOD15A2,A2004025,fn_usmafort,2007238100743,FparStdDev_1km,248,8,8,2,0,5,8,8,8,1,248,248,8,7,2,8,3,8,8,7,9,248,2,8,0,6,8,9,4,5,0,0,8,0,6,5,0,0,7,7,0,0,7,0,6,7,7,0,8
MOD15A2.A2004025.fn_usmafort.005.2007238100743.Fpar_1km,MOD15A2,A2004025,fn_usmafort,2007238100743,Fpar_1km,39,53,52,82,82,49,52,66,51,84,36,31,52,35,82,53,84,52,53,53,21,29,84,58,27,47,52,18,63,47,27,27,53,27,47,45,27,27,35,33,42,27,33,27,72,34,34,26,52
MOD15A2.A2004025.fn_usmafort.005.2007238100743.LaiStdDev_1km,MOD15A2,A2004025,fn_usmafort,2007238100743,LaiStdDev_1km,248,2,2,3,0,1,2,4,2,2,248,248,2,1,2,2,5,2,2,2,1,248,3,2,0,1,2,1,2,1,0,0,2,0,1,1,0,0,1,1,0,0,1,0,4,1,1,0,2
MOD15A2.A2004025.fn_usmafort.005.2007238100743.Lai_1km,MOD15A2,A2004025,fn_usmafort,2007238100743,Lai_1km,9,9,9,28,26,8,9,16,8,30,8,7,9,5,27,9,31,9,9,9,3,7,30,11,4,7,9,2,14,7,3,4,9,4,7,7,4,4,5,5,6,3,4,3,19,5,5,4,8
MOD15A2.A2004033.fn_usmafort.005.2007243221520.FparExtra_QC,MOD15A2,A2004033,fn_usmafort,2007243221520,FparExtra_QC,00001000,01000000,00001000,01000000,01000000,01000000,00110000,00001100,01001000,01001000,00001000,00001000,01000000,01000000,01000100,00110000,01001000,00110000,01000000,01000000,00001000,00100000,01001000,01001000,01001000,00110000,00110000,01001000,01000000,00001000,00001000,01000000,01000000,01000000,00110000,01000000,01000000,01000000,00110000,01000000,00110000,01000000,01000000,00110000,01000000,01000000,01000000,00110000,00001000
MOD15A2.A2004033.fn_usmafort.005.2007243221520.FparLai_QC,MOD15A2,A2004033,fn_usmafort,2007243221520,FparLai_QC,01100001,00000000,00000000,01110001,01110001,01110001,00010000,01100001,00010000,01100001,01100001,01100001,00010000,01110001,01100001,00000000,01110001,00010000,00010000,00010000,01110001,01100001,00000000,00000000,01100001,00010000,00010000,01110001,00000000,00000000,01100001,01100001,00010000,00010000,00010000,00000000,01100001,01110001,00001000,01110001,00010000,01110001,01110001,01110001,01110001,01110001,01110001,00010000,00010000
MOD15A2.A2004033.fn_usmafort.005.2007243221520.FparStdDev_1km,MOD15A2,A2004033,fn_usmafort,2007243221520,FparStdDev_1km,248,6,8,248,248,248,0,248,0,248,248,248,0,248,248,7,248,0,6,6,248,248,9,8,248,7,7,248,2,7,248,248,7,9,0,6,248,248,7,248,7,248,248,248,248,248,248,7,0
MOD15A2.A2004033.fn_usmafort.005.2007243221520.Fpar_1km,MOD15A2,A2004033,fn_usmafort,2007243221520,Fpar_1km,32,47,52,34,33,16,27,36,53,30,24,15,42,18,39,35,46,27,47,47,22,17,74,53,10,34,34,28,81,50,6,10,50,18,27,47,5,8,34,20,32,13,16,5,34,10,18,33,42
MOD15A2.A2004033.fn_usmafort.005.2007243221520.LaiStdDev_1km,MOD15A2,A2004033,fn_usmafort,2007243221520,LaiStdDev_1km,248,1,2,248,248,248,0,248,0,248,248,248,0,248,248,1,248,0,1,1,248,248,6,2,248,1,1,248,2,2,248,248,2,1,0,1,248,248,1,248,1,248,248,248,248,248,248,1,0
MOD15A2.A2004033.fn_usmafort.005.2007243221520.Lai_1km,MOD15A2,A2004033,fn_usmafort,2007243221520,Lai_1km,7,7,9,8,8,3,3,9,8,7,5,3,6,4,9,5,12,3,7,7,5,4,21,9,2,5,5,6,26,8,1,2,8,2,3,7,1,2,5,4,4,3,3,1,8,2,4,4,6
MOD15A2.A2004041.fn_usmafort.005.2007245095920.FparExtra_QC,MOD15A2,A2004041,fn_usmafort,2007245095920,FparExtra_QC,00001100,00001000,00000000,00100000,00100000,01000000,01001000,00001100,00100000,00100000,00100000,00100000,01001000,00100000,00001000,00001000,01001000,01000100,01000100,01000000,00110000,00001000,01001000,00001000,01000000,00110000,00000000,00110000,01001000,01001000,01001000,01001000,01001000,01001000,00100000,01000000,00100000,00100000,00000100,00001000,00100000,00110000,00100000,00100000,00001100,01000000,01001100,01001100,01000000
MOD15A2.A2004041.fn_usmafort.005.2007245095920.FparLai_QC,MOD15A2,A2004041,fn_usmafort,2007245095920,FparLai_QC,01100001,00000000,00000000,00010000,00001000,00000000,00010000,00000000,00001000,00101000,00010000,00010000,00010000,00010000,00010000,00000000,00010000,00000000,00000000,00010000,00010000,01100001,00000000,00010000,01110001,00010000,00010000,00010000,00010000,00010000,01110001,01110001,00010000,00010000,00010000,00000000,00010000,00010000,00000000,00010000,00010000,00010000,00010000,00010000,00000000,01110001,00000000,00000000,00010000
MOD15A2.A2004041.fn_usmafort.005.2007245095920.FparStdDev_1km,MOD15A2,A2004041,fn_usmafort,2007245095920,FparStdDev_1km,248,10,0,15,2,9,7,14,10,2,7,8,7,0,2,9,1,7,7,5,0,248,8,6,248,0,7,9,2,9,248,248,9,0,7,8,0,7,6,7,0,0,7,8,8,248,0,7,7
MOD15A2.A2004041.fn_usmafort.005.2007245095920.Fpar_1km,MOD15A2,A2004041,fn_usmafort,2007245095920,Fpar_1km,32,40,42,23,88,18,52,47,73,88,34,22,34,27,84,41,85,34,34,48,27,14,70,47,9,27,37,21,84,66,13,28,70,53,51,45,27,23,38,34,27,27,24,22,72,15,42,34,37
MOD15A2.A2004041.fn_usmafort.005.2007245095920.LaiStdDev_1km,MOD15A2,A2004041,fn_usmafort,2007245095920,LaiStdDev_1km,248,2,0,3,9,1,2,4,5,12,1,1,1,0,4,2,3,1,1,1,0,248,5,1,248,0,1,1,5,3,248,248,4,0,2,2,0,1,1,1,0,0,1,1,5,248,0,1,1
MOD15A2.A2004041.fn_usmafort.005.2007245095920.Lai_1km,MOD15A2,A2004041,fn_usmafort,2007245095920,Lai_1km,7,6,6,3,44,2,8,8,17,48,4,3,5,3,31,6,32,5,5,7,4,3,18,7,2,3,5,3,32,14,3,6,16,8,8,7,3,3,5,5,4,3,3,3,19,3,6,5,5
MOD15A2.A2004049.fn_usmafort.005.2007247224917.FparExtra_QC,MOD15A2,A2004049,fn_usmafort,2007247224917,FparExtra_QC,01001100,01001000,01001000,01001000,00100000,01000000,01000000,01000100,01000000,00100000,00100000,01000000,01001000,01000000,01000000,01000000,01000000,00000000,00001100,00001000,00000100,01001000,00100000,00000000,01000000,01000000,00000000,00001000,01000000,00000000,01001000,01000000,00001100,00001000,00001000,00001000,00100000,00100000,00001100,00001000,00001000,00001000,01000000,00100000,01001100,01000000,00001000,00001000,00001000
MOD15A2.A2004049.fn_usmafort.005.2007247224917.FparLai_QC,MOD15A2,A2004049,fn_usmafort,2007247224917,FparLai_QC,01100001,00010000,00010000,00000000,00001000,00010000,00010000,00000000,00000000,01101001,00001000,00010000,00000000,00010000,00000000,00000000,01110001,00010000,00000000,00000000,01100001,01110001,00000000,00000000,00000000,00000000,00000000,01110001,00000000,00000000,01101001,01100001,00000000,01110001,00000000,00000000,01110001,01110001,00000000,00000000,00000000,01110001,00000000,01101001,00000000,01101001,00000000,00010000,00010000
MOD15A2.A2004049.fn_usmafort.005.2007247224917.FparStdDev_1km,MOD15A2,A2004049,fn_usmafort,2007247224917,FparStdDev_1km,248,10,7,10,7,0,7,5,7,248,10,0,7,0,15,7,248,0,10,7,248,248,13,8,0,0,7,248,13,10,248,248,9,248,7,9,248,248,6,7,10,248,0,248,11,248,7,7,7
MOD15A2.A2004049.fn_usmafort.005.2007247224917.Fpar_1km,MOD15A2,A2004049,fn_usmafort,2007247224917,Fpar_1km,30,41,37,69,69,27,34,72,37,83,44,26,36,9,51,36,84,42,42,50,7,23,65,45,27,27,37,13,64,39,10,7,47,12,34,43,3,5,47,34,42,11,27,10,72,13,36,35,36
MOD15A2.A2004049.fn_usmafort.005.2007247224917.LaiStdDev_1km,MOD15A2,A2004049,fn_usmafort,2007247224917,LaiStdDev_1km,248,2,1,4,4,0,1,3,1,248,2,0,1,0,4,1,248,0,2,2,248,248,5,2,0,0,1,248,5,2,248,248,2,248,1,2,248,248,1,1,2,248,0,248,6,248,1,1,1
MOD15A2.A2004049.fn_usmafort.005.2007247224917.Lai_1km,MOD15A2,A2004049,fn_usmafort,2007247224917,Lai_1km,6,6,5,17,17,4,5,19,5,45,6,4,5,1,10,5,46,6,6,8,1,5,15,7,3,3,5,3,15,6,2,1,7,2,5,7,1,1,7,5,6,2,3,2,19,3,5,5,5
MOD15A2.A2004057.fn_usmafort.005.2007250190247.FparExtra_QC,MOD15A2,A2004057,fn_usmafort,2007250190247,FparExtra_QC,00000100,01001000,01001000,01001000,00001000,00001000,00001000,00001100,01001000,00001000,00001000,01001000,00001000,00001000,01001000,00001000,00001000,00001000,00001000,00001000,01001000,00100000,00001000,00001000,00001000,00001000,00001000,01000000,00001000,01001000,01001000,01001000,01001000,00001000,01001000,00001000,01001000,01001000,00001100,00001100,00001000,01001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000
MOD15A2.A2004057.fn_usmafort.005.2007250190247.FparLai_QC,MOD15A2,A2004057,fn_usmafort,2007250190247,FparLai_QC,00000000,00010000,00000000,00000000,00010000,00010000,00010000,00000000,00000000,00000000,01110001,00000000,00010000,00010000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00001000,00000000,00000000,01100001,00010000,00010000,00000000,00000000,00000000,01100001,01100001,00000000,00010000,00000000,00000000,01100001,01100001,00000000,00000000,00000000,00000000,00000000,01100001,00010000,00000000,00000000,00010000,00010000
MOD15A2.A2004057.fn_usmafort.005.2007250190247.FparStdDev_1km,MOD15A2,A2004057,fn_usmafort,2007250190247,FparStdDev_1km,10,6,5,10,1,5,6,8,8,7,248,6,6,8,10,7,2,6,6,0,0,9,0,7,248,8,7,6,3,6,248,248,5,6,6,6,248,248,5,7,8,6,6,248,7,6,8,8,0
MOD15A2.A2004057.fn_usmafort.005.2007250190247.Fpar_1km,MOD15A2,A2004057,fn_usmafort,2007250190247,Fpar_1km,48,47,37,70,83,30,46,69,34,71,32,28,46,33,68,35,85,47,48,42,33,12,84,53,22,34,35,29,82,47,12,16,36,29,27,46,13,14,38,30,33,29,29,14,72,27,33,33,42
MOD15A2.A2004057.fn_usmafort.005.2007250190247.LaiStdDev_1km,MOD15A2,A2004057,fn_usmafort,2007250190247,LaiStdDev_1km,3,1,1,6,2,1,1,5,2,5,248,1,1,2,6,2,3,1,1,0,0,2,0,2,248,2,2,1,5,1,248,248,1,1,1,1,248,248,1,2,2,1,1,248,5,1,2,2,0
MOD15A2.A2004057.fn_usmafort.005.2007250190247.Lai_1km,MOD15A2,A2004057,fn_usmafort,2007250190247,Lai_1km,9,7,7,23,29,5,7,22,7,24,7,5,7,6,22,7,32,7,7,6,6,2,31,9,5,6,7,5,29,7,2,3,7,5,5,7,3,3,7,5,6,5,5,3,24,5,6,6,6
MOD15A2.A2004065.fn_usmafort.005.2007254235747.FparExtra_QC,MOD15A2,A2004065,fn_usmafort,2007254235747,FparExtra_QC,01000000,00000000,00001000,00001000,00001000,00001000,00001000,00001000,00000000,00001000,00001000,01000000,00001000,01000000,00000000,00001000,00001000,00001000,01000000,00001000,00001000,00001000,00001000,00001000,01000000,01000000,01000000,00001000,00001000,00001000,01001000,00001000,00001000,00001000,00001000,00001000,00000000,01000000,00001000,00001000,00001000,00001000,00001000,01000000,01000000,00001000,00001000,00001000,00001000
MOD15A2.A2004065.fn_usmafort.005.2007254235747.FparLai_QC,MOD15A2,A2004065,fn_usmafort,2007254235747,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,01100001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,01100001,00000000,00000000,00000000,00000000,00000000,00000000,01100001,00000000,00000000,00000000,01100001,00000000,01100001,01100001,00000000,00000000,00000000,00000000,00000000,00000000,01100001,00000000,00000000,00000000,00000000,00000000,00000000,01100001
MOD15A2.A2004065.fn_usmafort.005.2007254235747.FparStdDev_1km,MOD15A2,A2004065,fn_usmafort,2007254235747,FparStdDev_1km,9,7,8,1,1,7,4,1,8,2,248,7,7,9,4,8,2,6,8,4,248,13,7,7,7,9,10,248,2,6,7,248,6,248,248,8,7,7,6,4,4,248,8,7,5,4,6,7,248
MOD15A2.A2004065.fn_usmafort.005.2007254235747.Fpar_1km,MOD15A2,A2004065,fn_usmafort,2007254235747,Fpar_1km,63,55,56,85,85,48,47,84,54,85,35,43,52,33,84,56,85,51,53,47,27,26,78,62,42,40,37,29,85,50,42,23,51,29,23,54,43,41,51,46,47,18,47,42,35,49,51,44,28
MOD15A2.A2004065.fn_usmafort.005.2007254235747.LaiStdDev_1km,MOD15A2,A2004065,fn_usmafort,2007254235747,LaiStdDev_1km,4,3,3,3,3,2,1,3,3,4,248,2,2,2,6,3,5,2,3,1,248,3,8,3,2,2,3,248,5,2,2,248,2,248,248,3,2,2,2,1,1,248,3,2,1,1,2,2,248
MOD15A2.A2004065.fn_usmafort.005.2007254235747.Lai_1km,MOD15A2,A2004065,fn_usmafort,2007254235747,Lai_1km,15,13,13,41,41,10,10,37,12,41,8,9,12,6,39,13,42,11,12,10,6,5,31,16,9,8,7,6,40,11,8,5,11,7,5,12,9,8,11,9,10,4,10,9,7,10,11,9,6
MOD15A2.A2004073.fn_usmafort.005.2007257071836.FparExtra_QC,MOD15A2,A2004073,fn_usmafort,2007257071836,FparExtra_QC,00001000,00110000,00001000,00001000,01000000,00110000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,01000000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,01001000,00001000,00001000,00001000,00001000,00001000,00001000,01000000,01000000,01000000,00001000,00001000,00001000,00001000,00110000,01000000,01000000,00001000,01000000,01000000,00001000,01000000,00100000,01001000,01001000,01001000,01001000,01001000
MOD15A2.A2004073.fn_usmafort.005.2007257071836.FparLai_QC,MOD15A2,A2004073,fn_usmafort,2007257071836,FparLai_QC,00000000,00001000,00000000,00000000,00000000,00001000,00000000,00010000,00000000,00000000,01100001,00000000,00000000,01100001,00010000,00010000,00000000,00000000,00000000,00000000,00000000,01100001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,01100001,00000000,00000000,00000000,00000000,00001000,01100001,00000000,00000000,00000000,00000000,00000000,00000000,01101001,00000000,01100001,00000000,00010000,00010000
MOD15A2.A2004073.fn_usmafort.005.2007257071836.FparStdDev_1km,MOD15A2,A2004073,fn_usmafort,2007257071836,FparStdDev_1km,9,5,4,9,1,5,6,10,4,9,248,6,6,248,7,3,9,5,5,4,6,248,9,4,6,6,5,6,12,8,248,6,5,6,6,0,248,6,6,5,5,6,8,248,7,248,5,8,8
MOD15A2.A2004073.fn_usmafort.005.2007257071836.Fpar_1km,MOD15A2,A2004073,fn_usmafort,2007257071836,Fpar_1km,38,38,33,67,87,38,27,66,34,68,28,28,28,21,61,32,65,27,28,34,28,29,64,29,27,28,29,29,62,34,11,28,28,28,27,33,11,27,28,36,36,27,25,15,72,18,29,35,35
MOD15A2.A2004073.fn_usmafort.005.2007257071836.LaiStdDev_1km,MOD15A2,A2004073,fn_usmafort,2007257071836,LaiStdDev_1km,2,1,1,5,2,1,1,6,1,6,248,1,1,248,4,1,5,1,1,1,1,248,5,1,1,1,1,1,6,2,248,1,1,1,1,0,248,1,1,1,1,1,2,248,5,248,1,2,2
MOD15A2.A2004073.fn_usmafort.005.2007257071836.Lai_1km,MOD15A2,A2004073,fn_usmafort,2007257071836,Lai_1km,7,7,7,21,47,7,5,21,7,22,6,5,5,4,18,6,20,5,5,7,5,7,20,6,5,5,5,5,19,6,2,5,5,5,5,6,2,5,5,7,7,5,4,3,25,4,5,7,7
MOD15A2.A2004081.fn_usmafort.005.2007261130640.FparExtra_QC,MOD15A2,A2004081,fn_usmafort,2007261130640,FparExtra_QC,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000
MOD15A2.A2004081.fn_usmafort.005.2007261130640.FparLai_QC,MOD15A2,A2004081,fn_usmafort,2007261130640,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2004081.fn_usmafort.005.2007261130640.FparStdDev_1km,MOD15A2,A2004081,fn_usmafort,2007261130640,FparStdDev_1km,8,7,6,10,11,5,5,2,7,1,9,7,0,5,3,7,2,6,6,0,5,15,1,6,7,5,5,8,3,6,7,5,0,8,6,6,7,7,0,0,5,6,5,8,10,5,5,5,8
MOD15A2.A2004081.fn_usmafort.005.2007261130640.Fpar_1km,MOD15A2,A2004081,fn_usmafort,2007261130640,Fpar_1km,53,55,50,66,64,36,36,85,52,87,47,33,43,36,85,53,86,45,49,43,36,35,84,49,34,37,37,33,84,43,34,37,43,33,28,44,33,34,43,43,36,28,36,33,67,37,37,36,32
MOD15A2.A2004081.fn_usmafort.005.2007261130640.LaiStdDev_1km,MOD15A2,A2004081,fn_usmafort,2007261130640,LaiStdDev_1km,3,3,2,6,6,1,1,4,2,2,3,2,0,1,6,3,4,2,2,0,1,4,2,2,2,1,1,2,6,2,2,1,0,2,1,2,2,2,0,0,1,1,1,2,6,1,1,1,2
MOD15A2.A2004081.fn_usmafort.005.2007261130640.Lai_1km,MOD15A2,A2004081,fn_usmafort,2007261130640,Lai_1km,12,12,11,21,20,7,7,40,11,44,10,7,8,7,40,12,42,9,10,8,7,8,39,10,7,7,7,6,40,8,7,7,8,6,5,9,6,7,8,8,7,5,7,6,21,7,7,7,6
MOD15A2.A2004089.fn_usmafort.005.2007264114941.FparExtra_QC,MOD15A2,A2004089,fn_usmafort,2007264114941,FparExtra_QC,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000
