HDFname,Product,Date,Site,ProcessDate,Band,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MOD15A2.A2004001.fn_usmafort.005.2007232071140.FparExtra_QC,MOD15A2,A2004001,fn_usmafort,2007232071140,FparExtra_QC,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001100,00001000,00001000,00001000,00001000,00001000,01000000,00001000,00001000,00001000,00001000,00001000,01001000,01000000,00100000,01001000,01001000,00110000,01001000,01001000,01001000,01001000,01001000,01001000,01001000,01001000,01001000,01001000,01001000,00100000,01001000,01001100,01000000,01000000,01000000,01001000,00100000,01001000,00100000,00100000,01000000,00100000
MOD15A2.A2004001.fn_usmafort.005.2007232071140.FparLai_QC,MOD15A2,A2004001,fn_usmafort,2007232071140,FparLai_QC,00000000,00000000,00000000,01110001,00010000,00010000,00010000,00000000,00010000,00010000,01100001,00010000,00010000,00000000,00010000,00010000,00000000,00010000,00010000,00010000,00010000,01110001,00000000,00000000,01101001,00010000,00000000,00000000,00000000,00000000,01110001,01110001,00010000,00000000,00000000,00010000,01110001,01110001,00000000,01100001,00000000,01100001,01110001,01110001,00010000,01110001,00010000,00000000,00010000
MOD15A2.A2004001.fn_usmafort.005.2007232071140.FparStdDev_1km,MOD15A2,A2004001,fn_usmafort,2007232071140,FparStdDev_1km,8,8,8,248,8,6,7,16,8,5,248,10,6,9,9,8,7,6,6,8,9,248,9,5,248,8,8,7,8,5,248,248,7,6,7,7,248,248,9,248,10,248,248,248,9,248,9,7,7
MOD15A2.A2004001.fn_usmafort.005.2007232071140.Fpar_1km,MOD15A2,A2004001,fn_usmafort,2007232071140,Fpar_1km,66,51,52,33,74,47,49,59,51,44,19,42,47,16,72,50,77,47,46,51,18,16,70,46,14,52,50,50,72,45,11,13,49,47,34,49,10,12,43,14,39,9,16,11,73,11,43,35,35
MOD15A2.A2004001.fn_usmafort.005.2007232071140.LaiStdDev_1km,MOD15A2,A2004001,fn_usmafort,2007232071140,LaiStdDev_1km,3,2,2,248,5,1,2,5,2,1,248,2,1,1,5,2,5,1,1,2,1,248,5,1,248,2,2,2,5,1,248,248,2,1,1,2,248,248,2,248,2,248,248,248,5,248,2,1,1
MOD15A2.A2004001.fn_usmafort.005.2007232071140.Lai_1km,MOD15A2,A2004001,fn_usmafort,2007232071140,Lai_1km,12,9,9,8,20,7,8,13,8,7,4,6,7,2,19,8,23,7,7,9,2,4,18,8,3,9,8,8,19,7,2,3,8,7,5,8,2,2,6,3,6,2,3,2,20,2,6,5,5
MOD15A2.A2004009.fn_usmafort.005.2007234073006.FparExtra_QC,MOD15A2,A2004009,fn_usmafort,2007234073006,FparExtra_QC,00001000,00001000,00001000,01001000,01001000,01001000,00001000,00001000,01001000,00001000,00001000,01001000,01001000,01001000,00001000,00001000,01001000,01001000,00001000,00001000,00001000,00001000,00001000,01001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,01001000,01001000,00001000,00001000,01000000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000,00001000
MOD15A2.A2004009.fn_usmafort.005.2007234073006.FparLai_QC,MOD15A2,A2004009,fn_usmafort,2007234073006,FparLai_QC,00010000,00010000,00010000,00010000,00010000,00010000,00010000,00001000,00010000,00010000,00000000,00000000,00010000,00010000,00010000,00010000,00010000,00010000,00010000,00010000,01110001,01110001,00010000,00010000,00000000,00010000,00010000,00010000,00010000,00010000,01110001,01110001,00010000,00010000,00010000,00010000,01110001,01110001,00010000,00000000,00010000,00010000,00000000,01110001,00010000,01110001,00000000,00010000,00010000
MOD15A2.A2004009.fn_usmafort.005.2007234073006.FparStdDev_1km,MOD15A2,A2004009,fn_usmafort,2007234073006,FparStdDev_1km,4,7,9,3,3,7,8,2,9,2,0,9,8,0,1,8,1,8,9,7,248,248,1,7,7,8,7,6,4,7,248,248,9,6,6,7,248,248,8,7,8,0,7,248,2,248,0,0,8
MOD15A2.A2004009.fn_usmafort.005.2007234073006.Fpar_1km,MOD15A2,A2004009,fn_usmafort,2007234073006,Fpar_1km,69,63,57,83,82,50,52,83,54,84,45,41,52,42,83,55,85,51,57,53,30,37,84,57,35,51,53,47,80,50,17,24,58,47,47,48,22,25,53,49,51,42,35,24,84,24,42,53,59
MOD15A2.A2004009.fn_usmafort.005.2007234073006.LaiStdDev_1km,MOD15A2,A2004009,fn_usmafort,2007234073006,LaiStdDev_1km,1,3,3,5,5,2,2,3,2,4,0,2,2,0,2,2,3,2,3,2,248,248,1,2,1,2,2,1,4,2,248,248,3,1,1,2,248,248,2,2,2,0,1,248,4,248,0,0,2
MOD15A2.A2004009.fn_usmafort.005.2007234073006.Lai_1km,MOD15A2,A2004009,fn_usmafort,2007234073006,Lai_1km,12,12,10,29,29,8,9,28,9,31,6,6,9,6,29,9,32,8,10,9,7,9,30,10,5,8,9,7,25,8,4,5,10,7,7,8,5,5,9,8,8,6,5,5,31,5,6,8,11
